"state","step","criteria","STL.STACK","knn","pls","ridge","svmLinear2","STACK","knn.1","pls.1","ridge.1","svmLinear2.1"
"maranhao","4-step","MAPE",10.1741384305044,Inf,Inf,Inf,Inf,0.422605741799893,0.380930924199308,0.550076147955309,0.546044916522861,0.65397706748258
"maranhao","4-step","RMSE",610.921629581491,528.496248974518,730.064596185468,786.886013591828,1022.97125951778,697.426399769352,927.098469681192,1122.45899603786,1110.13158436168,1032.53152397936
"maranhao","5-step","MAE",412.000458399455,444.911338593453,533.43319421378,580.026182724437,559.083750453703,792.194857915243,605.653846153846,877.98264971824,892.811425093794,688.768650926986
"maranhao","5-step","MAPE",0.636962540831536,Inf,Inf,Inf,Inf,0.461651098983477,0.373875074340418,0.547854576134768,0.553533527250286,0.572364140472349
"maranhao","5-step","RMSE",579.466755364683,566.089051060525,743.034601757573,800.69805188164,932.993009568615,1105.63500898947,867.233201076452,1024.18283099311,1024.15986414316,903.981418775564
"maranhao","6-step","MAE",315.594569524129,485.788785321601,594.705270172196,620.33661775325,326.01330571363,624.083903312683,916.807692307692,1157.90423045323,1167.29599296566,802.327023344555
"maranhao","6-step","MAPE",0.457354603705208,Inf,0.447931777502738,0.436784865891614,Inf,0.425181469070581,0.404868490532488,0.602202472477819,0.605467150348754,0.599621675727608
"maranhao","6-step","RMSE",448.045437064943,640.854688575277,705.01029846274,747.666540148815,488.839102275774,927.026063540109,1354.71631745873,1290.3845252718,1294.22299062797,985.610533003317
"maranhao","7-step","MAE",386.010011752446,551.097365642744,746.353709410097,776.284723016917,371.145631032773,445.310167551041,585.737179487179,1239.25858771354,1244.96194614866,740.890934333336
"maranhao","7-step","MAPE",2.05567420642515,Inf,Inf,Inf,Inf,0.724946985291468,0.355921732239213,0.622241504974042,0.622849717760365,0.580881774693507
"maranhao","7-step","RMSE",494.753656708487,675.631648834144,840.953003480784,882.082420507392,623.407228503035,640.830315012436,837.441229649204,1326.43150713863,1325.32519887989,972.557703395219
"maranhao","8-step","MAE",449.889037589232,637.805385862698,553.007560012998,587.0145359513,370.552462367625,457.704007307688,623.025641025641,1170.90318652871,1156.8055330854,809.226758182017
"maranhao","8-step","MAPE",15.470858326121,Inf,Inf,Inf,Inf,0.549291519354972,0.377950643443667,0.627203394150291,0.621569272233687,0.644591322130476
"maranhao","8-step","RMSE",577.654414557402,792.575789568884,642.911083693553,685.446534502332,644.246363356034,608.508827488767,853.043912218808,1248.35227466605,1232.09122180082,1062.56483832019
"maranhao","9-step","MAE",507.058803240458,686.176020660685,613.780147156914,653.977928137393,423.016192178574,461.341084480286,612.102564102564,1049.3209122259,1044.45587665256,837.611565770324
"maranhao","9-step","MAPE",0.755027241584412,Inf,Inf,Inf,Inf,0.625615248637819,0.348156066380674,0.613495787614756,0.607377177356244,0.679326945098315
"maranhao","9-step","RMSE",727.292080838876,938.192405313798,718.984745463939,768.57352027086,680.104897294431,797.912527804819,1045.26705580379,1140.85601510782,1130.98888182407,1075.73970529804
"maranhao","10-step","MAE",699.113104581833,797.799937290519,482.09862732786,511.220631463192,415.524126956369,609.986989180247,747.121794871795,945.736137006176,943.156316832767,783.393773283335
"maranhao","10-step","MAPE",1.97182431083724,Inf,Inf,Inf,Inf,0.698607790008397,0.388772258805174,0.588392843125315,0.585668411556081,0.662055671913421
"maranhao","10-step","RMSE",957.287722097113,1014.82491477476,608.40610421423,642.382530984695,676.750259938483,942.198106981122,1161.37753873379,1071.30670447809,1055.09545331714,1045.41102808331
"maranhao","11-step","MAE",564.160992940267,811.981243475362,526.851264524229,537.531320892737,426.913718013387,549.006018400192,769.224358974359,962.790077596399,942.450550908125,785.796148594464
"maranhao","11-step","MAPE",2.1805563643957,Inf,Inf,Inf,Inf,1.0647108733983,0.399966813109881,0.567982715358975,0.55212319831012,0.632180828305856
"maranhao","11-step","RMSE",760.963732665585,1019.19065763437,632.715923071658,657.821189286912,681.719327335053,820.725707870177,1170.02219019231,1105.95532295045,1081.14539958765,1069.63718129918
"maranhao","12-step","MAE",560.810089190801,840.337024906002,549.020424808804,559.565673196798,437.33817652541,783.85334777832,768.538461538462,1070.13418132842,1049.21298217056,883.692094602705
"maranhao","12-step","MAPE",2.99478028234548,Inf,0.456956571883303,0.450130497368695,Inf,0.409317495949817,0.387189958037266,0.607357424077205,0.600420396622871,0.6792516446078
"maranhao","12-step","RMSE",737.151356195243,1027.45183864838,641.796232735866,666.480054796992,684.626857977732,1149.02219650564,1170.00760209267,1176.13018708496,1148.62213476167,1124.93374586372
"mato_grosso","1-step","MAE",859.97691599528,1223.78338282014,2892.22309330119,2990.20531556261,2643.0967391973,2153.51021575928,2647.10897435897,3059.92757013687,2998.50766524829,2744.34306499466
"mato_grosso","1-step","MAPE",0.289996850934176,Inf,Inf,Inf,1.93954278820821,0.537742558413213,0.51921555876008,Inf,Inf,0.955407939101061
"mato_grosso","1-step","RMSE",1440.51983069689,1877.44759640714,4202.48863046053,4139.96553792779,4336.34549165581,3657.01395626352,4591.5114855989,4755.20025709046,4767.82253902224,4893.97025900337
"mato_grosso","2-step","MAE",723.807123819987,1013.86599273464,2464.12527167116,2506.43754572684,2093.4959514709,1298.72307332357,1994.71794871795,2414.30593511047,2461.5302703422,2127.72244249095
"mato_grosso","2-step","MAPE",0.364028204451792,Inf,Inf,Inf,Inf,0.719829435204598,0.470646447333772,Inf,Inf,1.39095751018091
"mato_grosso","2-step","RMSE",1119.99550328854,1477.08358857571,3669.4948902207,3517.07664513934,3342.39115357093,2171.48444112115,3539.06541502616,3888.36190647417,3989.97734120395,4395.22122862126
"mato_grosso","3-step","MAE",1183.34289296468,1035.22539560653,2689.29409856216,2682.34184265332,2494.12440148724,4561.85198974609,1826.62820512821,2754.42708500303,2706.26607978166,2265.21439329914
"mato_grosso","3-step","MAPE",0.334835405596088,Inf,Inf,Inf,Inf,0.500071827937472,0.42254908838013,Inf,Inf,0.835580149170697
"mato_grosso","3-step","RMSE",1669.83931796062,1451.06922721531,3769.36947330384,3632.4271978498,3668.33752964865,7382.29568186869,3575.87700364088,4015.85782277587,4105.55493815256,4428.07979117605
"mato_grosso","4-step","MAE",1338.89281717936,1285.85661441763,2813.47594171173,2948.28072822369,2475.76769166985,2472.75438690186,2701.80128205128,3081.72719800443,3001.68952954978,2808.78146415257
"mato_grosso","4-step","MAPE",0.351994580494399,Inf,Inf,Inf,Inf,0.764118677955428,0.516837165423641,Inf,Inf,1.56896828957559
"mato_grosso","4-step","RMSE",2598.29349223953,1932.65916039695,4772.24496713209,4827.91273705271,4828.89998048677,4750.54187983751,4466.98100745973,5232.79157129769,5228.7560632412,5887.31027359557
"mato_grosso","5-step","MAE",905.559069315592,998.561804249594,3430.72916767035,3440.67264748409,2944.9829902092,3086.37548446655,3371.92307692308,3479.3590985763,3514.50530634878,2827.65129859497
"mato_grosso","5-step","MAPE",0.381079001618539,Inf,Inf,Inf,Inf,0.729105241073894,0.604338387445452,Inf,Inf,2.00993307151912
